pair_sml,state,pair
CN1C=C[N+](CCCCCCCCCC)=C1.[N-](S(=O)(=O)F)S(=O)(=O)F,0.0,1-decyl-3-methylimidazolium bis(fluorosulfonyl)imide
CC[N+]1=CC=CC(C)=C1.C(F)(F)(F)S(=O)(=O)[O-],0.0,1-ethyl-3-methylpyridinium triflate
CC[N+]1=CC=CC(C)=C1.[S-]C#N,0.0,1-ethyl-3-methylpyridinium thiocyanate
CC[N+]1=CC=CC(C)=C1.O=C(C)[O-],0.0,1-ethyl-3-methylpyridinium acetate
CC[N+]1=CC=CC(C)=C1.[O-]S(=O)(OCC)=O,0.0,1-ethyl-3-methylpyridinium ethyl sulfate
CC[N+]1=CC=CC(C)=C1.[O-]S(=O)(O)=O,0.0,1-ethyl-3-methylpyridinium hydrogensulfate
CC[N+]1=CC=CC(C)=C1.[O-]S(=O)(C)=O,0.0,1-ethyl-3-methylpyridinium methanesulfonate
CC[N+]1=CC=CC(C)=C1.[O-]S(=O)(C1=CC=C(C)C=C1)=O,0.0,1-ethyl-3-methylpyridinium tosylate
CC[N+]1=CC=CC(C)=C1.O=C([H])[O-],0.0,1-ethyl-3-methylpyridinium formate
CC[N+]1=CC=CC(C)=C1.[O-]P(OCC(CC)CCCC)(OCC(CCCC)CC)=O,0.0,1-ethyl-3-methylpyridinium bis(2-ethylhexyl)phosphate
CC[N+]1=CC=CC(C)=C1.[O-]P(OCCCC)(OCCCC)=O,0.0,1-ethyl-3-methylpyridinium dibutylphosphate
CC[N+]1=CC=CC(C)=C1.O=S([N-]S(=O)(C(F)(F)C(F)(F)F)=O)(C(F)(F)C(F)(F)F)=O,0.0,1-ethyl-3-methylpyridinium bis(pentafluoroethylsulfonyl)imide
CC[N+]1=CC=CC(C)=C1.O=C(C(F)(F)F)[O-],0.0,1-ethyl-3-methylpyridinium trifluoroacetate
CC[N+]1=CC=CC(C)=C1.[O-]P(CC(CC(C)C)C)(CC(CC(C)(C)C)C)=O,0.0,"1-ethyl-3-methylpyridinium bis(2,4,4-trimethylpentyl)phosphinate"
CC[N+]1=CC=CC(C)=C1.[O-]P(OCC)(OCC)=O,0.0,1-ethyl-3-methylpyridinium diethyl phosphate
CC[N+]1=CC=CC(C)=C1.[O-]P(OC)(OC)=O,0.0,1-ethyl-3-methylpyridinium dimethyl phosphate
CC[N+]1=CC=CC(C)=C1.[O-]S(=O)(OC)=O,0.0,1-ethyl-3-methylpyridinium methyl sulfate
CC[N+]1=CC=CC(C)=C1.N#C[N-]C#N,0.0,1-ethyl-3-methylpyridinium dicyanamide
CC[N+]1=CC=CC(C)=C1.N#C[C-](C#N)C#N,-0.0,1-ethyl-3-methylpyridinium tricyanomethanide
CC[N+]1=CC=CC(C)=C1.O=C(CCCCCCCCC)[O-],0.0,1-ethyl-3-methylpyridinium decanoate
CC[N+]1=CC=CC(C)=C1.F[B-](F)(F)F,0.0,1-ethyl-3-methylpyridinium tetrafluoroborate
CC[N+]1=CC=CC(C)=C1.[N-](S(=O)(=O)F)S(=O)(=O)F,0.0,1-ethyl-3-methylpyridinium bis(fluorosulfonyl)imide
CN1C=C[N+](CCCCCC)=C1.[S-]C#N,0.0,1-hexyl-3-methylimidazolium thiocyanate
CN1C=C[N+](CCCCCC)=C1.O=C(C)[O-],0.0,1-hexyl-3-methylimidazolium acetate
CN1C=C[N+](CCCCCC)=C1.[O-]S(=O)(OCC)=O,0.0,1-hexyl-3-methylimidazolium ethyl sulfate
CN1C=C[N+](CCCCCC)=C1.[O-]S(=O)(O)=O,0.0,1-hexyl-3-methylimidazolium hydrogensulfate
CN1C=C[N+](CCCCCC)=C1.[O-]S(=O)(C)=O,0.0,1-hexyl-3-methylimidazolium methanesulfonate
CN1C=C[N+](CCCCCC)=C1.[O-]S(=O)(C1=CC=C(C)C=C1)=O,0.0,1-hexyl-3-methylimidazolium tosylate
CN1C=C[N+](CCCCCC)=C1.O=C([H])[O-],0.0,1-hexyl-3-methylimidazolium formate
CN1C=C[N+](CCCCCC)=C1.[O-]P(OCC(CC)CCCC)(OCC(CCCC)CC)=O,0.0,1-hexyl-3-methylimidazolium bis(2-ethylhexyl)phosphate
CN1C=C[N+](CCCCCC)=C1.[O-]S(=O)(C(F)(F)C(F)F)=O,0.0,"1-hexyl-3-methylimidazolium 1,1,2,2-tetrafluoroethanesulfonate"
CN1C=C[N+](CCCCCC)=C1.[O-]P(OCCCC)(OCCCC)=O,0.0,1-hexyl-3-methylimidazolium dibutylphosphate
CN1C=C[N+](CCCCCC)=C1.O=S([N-]S(=O)(C(F)(F)C(F)(F)F)=O)(C(F)(F)C(F)(F)F)=O,0.0,1-hexyl-3-methylimidazolium bis(pentafluoroethylsulfonyl)imide
CN1C=C[N+](CCCCCC)=C1.[O-]P(O)(O)=O,0.0,1-hexyl-3-methylimidazolium dihydrogen phosphate
CN1C=C[N+](CCCCCC)=C1.O=C(C(F)(F)F)[O-],0.0,1-hexyl-3-methylimidazolium trifluoroacetate
CN1C=C[N+](CCCCCC)=C1.[O-]S(=O)(C1=CC=C(CCCCCCCCCCCC)C=C1)=O,0.0,1-hexyl-3-methylimidazolium dodecylbenzenesulfonate
CN1C=C[N+](CCCCCC)=C1.[O-]P(CC(CC(C)C)C)(CC(CC(C)(C)C)C)=O,0.0,"1-hexyl-3-methylimidazolium bis(2,4,4-trimethylpentyl)phosphinate"
CN1C=C[N+](CCCCCC)=C1.[O-]P(OCC)(OCC)=O,0.0,1-hexyl-3-methylimidazolium diethyl phosphate
CN1C=C[N+](CCCCCC)=C1.[O-]P(OC)(OC)=O,0.0,1-hexyl-3-methylimidazolium dimethyl phosphate
CN1C=C[N+](CCCCCC)=C1.[O-]S(=O)(OC)=O,0.0,1-hexyl-3-methylimidazolium methyl sulfate
CN1C=C[N+](CCCCCC)=C1.N#C[N-]C#N,-0.0,1-hexyl-3-methylimidazolium dicyanamide
CN1C=C[N+](CCCCCC)=C1.[O-][N+]([O-])=O,0.0,1-hexyl-3-methylimidazolium nitrate
CN1C=C[N+](CCCCCC)=C1.O=C(CCCCCCCCC)[O-],0.0,1-hexyl-3-methylimidazolium decanoate
CN1C=C[N+](CCCCCC)=C1.[N-](S(=O)(=O)F)S(=O)(=O)F,-0.0,1-hexyl-3-methylimidazolium bis(fluorosulfonyl)imide
C[N+]1=C(C)N(CCC)C=C1.C(F)(F)(F)S(=O)(=O)[O-],0.0,"1,2-dimethyl-3-propylimidazolium triflate"
C[N+]1=C(C)N(CCC)C=C1.[S-]C#N,0.0,"1,2-dimethyl-3-propylimidazolium thiocyanate"
C[N+]1=C(C)N(CCC)C=C1.O=C(C)[O-],0.0,"1,2-dimethyl-3-propylimidazolium acetate"
C[N+]1=C(C)N(CCC)C=C1.[O-]S(=O)(OCC)=O,0.0,"1,2-dimethyl-3-propylimidazolium ethyl sulfate"
C[N+]1=C(C)N(CCC)C=C1.[O-]S(=O)(O)=O,0.0,"1,2-dimethyl-3-propylimidazolium hydrogensulfate"
C[N+]1=C(C)N(CCC)C=C1.[O-]S(=O)(C)=O,0.0,"1,2-dimethyl-3-propylimidazolium methanesulfonate"
C[N+]1=C(C)N(CCC)C=C1.[O-]S(=O)(C1=CC=C(C)C=C1)=O,0.0,"1,2-dimethyl-3-propylimidazolium tosylate"
C[N+]1=C(C)N(CCC)C=C1.O=C([H])[O-],0.0,"1,2-dimethyl-3-propylimidazolium formate"
C[N+]1=C(C)N(CCC)C=C1.[O-]P(OCC(CC)CCCC)(OCC(CCCC)CC)=O,0.0,"1,2-dimethyl-3-propylimidazolium bis(2-ethylhexyl)phosphate"
C[N+]1=C(C)N(CCC)C=C1.[O-]P(OCCCC)(OCCCC)=O,0.0,"1,2-dimethyl-3-propylimidazolium dibutylphosphate"
C[N+]1=C(C)N(CCC)C=C1.O=S([N-]S(=O)(C(F)(F)C(F)(F)F)=O)(C(F)(F)C(F)(F)F)=O,0.0,"1,2-dimethyl-3-propylimidazolium bis(pentafluoroethylsulfonyl)imide"
C[N+]1=C(C)N(CCC)C=C1.O=C(C(F)(F)F)[O-],0.0,"1,2-dimethyl-3-propylimidazolium trifluoroacetate"
C[N+]1=C(C)N(CCC)C=C1.[O-]S(=O)(C1=CC=C(CCCCCCCCCCCC)C=C1)=O,0.0,"1,2-dimethyl-3-propylimidazolium dodecylbenzenesulfonate"
C[N+]1=C(C)N(CCC)C=C1.[O-]P(CC(CC(C)C)C)(CC(CC(C)(C)C)C)=O,0.0,"1,2-dimethyl-3-propylimidazolium bis(2,4,4-trimethylpentyl)phosphinate"
C[N+]1=C(C)N(CCC)C=C1.[O-]P(OCC)(OCC)=O,0.0,"1,2-dimethyl-3-propylimidazolium diethyl phosphate"
C[N+]1=C(C)N(CCC)C=C1.[O-]P(OC)(OC)=O,0.0,"1,2-dimethyl-3-propylimidazolium dimethyl phosphate"
C[N+]1=C(C)N(CCC)C=C1.[O-]S(=O)(OC)=O,0.0,"1,2-dimethyl-3-propylimidazolium methyl sulfate"
C[N+]1=C(C)N(CCC)C=C1.N#C[N-]C#N,0.0,"1,2-dimethyl-3-propylimidazolium dicyanamide"
C[N+]1=C(C)N(CCC)C=C1.N#C[C-](C#N)C#N,-0.0,"1,2-dimethyl-3-propylimidazolium tricyanomethanide"
C[N+]1=C(C)N(CCC)C=C1.O=C(CCCCCCCCC)[O-],0.0,"1,2-dimethyl-3-propylimidazolium decanoate"
C[N+]1=C(C)N(CCC)C=C1.F[B-](F)(F)F,0.0,"1,2-dimethyl-3-propylimidazolium tetrafluoroborate"
C[N+]1=C(C)N(CCC)C=C1.[N-](S(=O)(=O)F)S(=O)(=O)F,0.0,"1,2-dimethyl-3-propylimidazolium bis(fluorosulfonyl)imide"
CCN1C=C[N+](CC)=C1.C(F)(F)(F)S(=O)(=O)[O-],0.0,"1,3-diethylimidazolium triflate"
CCN1C=C[N+](CC)=C1.[S-]C#N,0.0,"1,3-diethylimidazolium thiocyanate"
CCN1C=C[N+](CC)=C1.O=C(C)[O-],0.0,"1,3-diethylimidazolium acetate"
CCN1C=C[N+](CC)=C1.[O-]S(=O)(O)=O,0.0,"1,3-diethylimidazolium hydrogensulfate"
CCN1C=C[N+](CC)=C1.[O-]S(=O)(C)=O,0.0,"1,3-diethylimidazolium methanesulfonate"
CCN1C=C[N+](CC)=C1.[O-]S(=O)(C1=CC=C(C)C=C1)=O,0.0,"1,3-diethylimidazolium tosylate"
CCN1C=C[N+](CC)=C1.C(C(C(F)(F)S(=O)(=O)[O-])(F)F)(C(F)(F)F)(F)F,0.0,"1,3-diethylimidazolium perfluorobutanesulfonate"
CCN1C=C[N+](CC)=C1.O=C([H])[O-],0.0,"1,3-diethylimidazolium formate"
CCN1C=C[N+](CC)=C1.[O-]P(OCC(CC)CCCC)(OCC(CCCC)CC)=O,0.0,"1,3-diethylimidazolium bis(2-ethylhexyl)phosphate"
CCN1C=C[N+](CC)=C1.[O-]S(=O)(C(F)(F)C(F)F)=O,0.0,"1,3-diethylimidazolium 1,1,2,2-tetrafluoroethanesulfonate"
CCN1C=C[N+](CC)=C1.[O-]P(OCCCC)(OCCCC)=O,0.0,"1,3-diethylimidazolium dibutylphosphate"
CCN1C=C[N+](CC)=C1.O=S([N-]S(=O)(C(F)(F)C(F)(F)F)=O)(C(F)(F)C(F)(F)F)=O,0.0,"1,3-diethylimidazolium bis(pentafluoroethylsulfonyl)imide"
CCN1C=C[N+](CC)=C1.[O-]P(O)(O)=O,0.0,"1,3-diethylimidazolium dihydrogen phosphate"
CCN1C=C[N+](CC)=C1.O=C(C(F)(F)F)[O-],0.0,"1,3-diethylimidazolium trifluoroacetate"
CCN1C=C[N+](CC)=C1.[O-]S(=O)(C1=CC=C(CCCCCCCCCCCC)C=C1)=O,0.0,"1,3-diethylimidazolium dodecylbenzenesulfonate"
CCN1C=C[N+](CC)=C1.[O-]P(CC(CC(C)C)C)(CC(CC(C)(C)C)C)=O,0.0,"1,3-diethylimidazolium bis(2,4,4-trimethylpentyl)phosphinate"
CCN1C=C[N+](CC)=C1.[O-]P(OC)(OC)=O,0.0,"1,3-diethylimidazolium dimethyl phosphate"
CCN1C=C[N+](CC)=C1.[O-]S(=O)(OC)=O,0.0,"1,3-diethylimidazolium methyl sulfate"
CCN1C=C[N+](CC)=C1.N#C[N-]C#N,-0.0,"1,3-diethylimidazolium dicyanamide"
CCN1C=C[N+](CC)=C1.[O-][N+]([O-])=O,0.0,"1,3-diethylimidazolium nitrate"
CCN1C=C[N+](CC)=C1.N#C[C-](C#N)C#N,-0.0,"1,3-diethylimidazolium tricyanomethanide"
CCN1C=C[N+](CC)=C1.O=C(CCCCCCCCC)[O-],0.0,"1,3-diethylimidazolium decanoate"
CCN1C=C[N+](CC)=C1.F[B-](F)(F)F,0.0,"1,3-diethylimidazolium tetrafluoroborate"
CCN1C=C[N+](CC)=C1.[N-](S(=O)(=O)F)S(=O)(=O)F,-0.0,"1,3-diethylimidazolium bis(fluorosulfonyl)imide"
CN1C=C[N+](C)=C1.C(F)(F)(F)S(=O)(=O)[O-],0.0,"1,3-dimethylimidazolium triflate"
CN1C=C[N+](C)=C1.[S-]C#N,0.0,"1,3-dimethylimidazolium thiocyanate"
CN1C=C[N+](C)=C1.O=C(C)[O-],0.0,"1,3-dimethylimidazolium acetate"
CN1C=C[N+](C)=C1.[O-]S(=O)(OCC)=O,0.0,"1,3-dimethylimidazolium ethyl sulfate"
CN1C=C[N+](C)=C1.[O-]S(=O)(O)=O,0.0,"1,3-dimethylimidazolium hydrogensulfate"
CN1C=C[N+](C)=C1.[O-]S(=O)(C)=O,0.0,"1,3-dimethylimidazolium methanesulfonate"
CN1C=C[N+](C)=C1.[O-]S(=O)(C1=CC=C(C)C=C1)=O,0.0,"1,3-dimethylimidazolium tosylate"
CN1C=C[N+](C)=C1.O=C([H])[O-],0.0,"1,3-dimethylimidazolium formate"
CN1C=C[N+](C)=C1.[O-]P(OCC(CC)CCCC)(OCC(CCCC)CC)=O,0.0,"1,3-dimethylimidazolium bis(2-ethylhexyl)phosphate"
CN1C=C[N+](C)=C1.[O-]P(OCCCC)(OCCCC)=O,0.0,"1,3-dimethylimidazolium dibutylphosphate"
CN1C=C[N+](C)=C1.O=S([N-]S(=O)(C(F)(F)C(F)(F)F)=O)(C(F)(F)C(F)(F)F)=O,0.0,"1,3-dimethylimidazolium bis(pentafluoroethylsulfonyl)imide"
CN1C=C[N+](C)=C1.O=C(C(F)(F)F)[O-],0.0,"1,3-dimethylimidazolium trifluoroacetate"
CN1C=C[N+](C)=C1.[O-]S(=O)(C1=CC=C(CCCCCCCCCCCC)C=C1)=O,0.0,"1,3-dimethylimidazolium dodecylbenzenesulfonate"
CN1C=C[N+](C)=C1.[O-]P(CC(CC(C)C)C)(CC(CC(C)(C)C)C)=O,0.0,"1,3-dimethylimidazolium bis(2,4,4-trimethylpentyl)phosphinate"
CN1C=C[N+](C)=C1.[O-]P(OCC)(OCC)=O,0.0,"1,3-dimethylimidazolium diethyl phosphate"
CN1C=C[N+](C)=C1.N#C[N-]C#N,-0.0,"1,3-dimethylimidazolium dicyanamide"
CN1C=C[N+](C)=C1.N#C[C-](C#N)C#N,-0.0,"1,3-dimethylimidazolium tricyanomethanide"
CN1C=C[N+](C)=C1.O=C(CCCCCCCCC)[O-],0.0,"1,3-dimethylimidazolium decanoate"
CN1C=C[N+](C)=C1.F[B-](F)(F)F,0.0,"1,3-dimethylimidazolium tetrafluoroborate"
CN1C=C[N+](C)=C1.[N-](S(=O)(=O)F)S(=O)(=O)F,-0.0,"1,3-dimethylimidazolium bis(fluorosulfonyl)imide"
CN1C=C[N+](CCO)=C1.C(F)(F)(F)S(=O)(=O)[O-],0.0,1-(2-hydroxyethyl)-3-methylimidazolium triflate
CN1C=C[N+](CCO)=C1.[S-]C#N,0.0,1-(2-hydroxyethyl)-3-methylimidazolium thiocyanate
CN1C=C[N+](CCO)=C1.O=C(C)[O-],0.0,1-(2-hydroxyethyl)-3-methylimidazolium acetate
CN1C=C[N+](CCO)=C1.[O-]S(=O)(OCC)=O,0.0,1-(2-hydroxyethyl)-3-methylimidazolium ethyl sulfate
CN1C=C[N+](CCO)=C1.[O-]S(=O)(O)=O,0.0,1-(2-hydroxyethyl)-3-methylimidazolium hydrogensulfate
CN1C=C[N+](CCO)=C1.[O-]S(=O)(C)=O,0.0,1-(2-hydroxyethyl)-3-methylimidazolium methanesulfonate
CN1C=C[N+](CCO)=C1.[O-]S(=O)(C1=CC=C(C)C=C1)=O,0.0,1-(2-hydroxyethyl)-3-methylimidazolium tosylate
CN1C=C[N+](CCO)=C1.O=C([H])[O-],0.0,1-(2-hydroxyethyl)-3-methylimidazolium formate
CN1C=C[N+](CCO)=C1.[O-]P(OCC(CC)CCCC)(OCC(CCCC)CC)=O,0.0,1-(2-hydroxyethyl)-3-methylimidazolium bis(2-ethylhexyl)phosphate
CN1C=C[N+](CCO)=C1.[O-]S(=O)(C(F)(F)C(F)F)=O,0.0,"1-(2-hydroxyethyl)-3-methylimidazolium 1,1,2,2-tetrafluoroethanesulfonate"
CN1C=C[N+](CCO)=C1.[O-]P(OCCCC)(OCCCC)=O,0.0,1-(2-hydroxyethyl)-3-methylimidazolium dibutylphosphate
CN1C=C[N+](CCO)=C1.O=S([N-]S(=O)(C(F)(F)C(F)(F)F)=O)(C(F)(F)C(F)(F)F)=O,0.0,1-(2-hydroxyethyl)-3-methylimidazolium bis(pentafluoroethylsulfonyl)imide
CN1C=C[N+](CCO)=C1.[O-]P(O)(O)=O,0.0,1-(2-hydroxyethyl)-3-methylimidazolium dihydrogen phosphate
CN1C=C[N+](CCO)=C1.O=C(C(F)(F)F)[O-],0.0,1-(2-hydroxyethyl)-3-methylimidazolium trifluoroacetate
CN1C=C[N+](CCO)=C1.[O-]S(=O)(C1=CC=C(CCCCCCCCCCCC)C=C1)=O,0.0,1-(2-hydroxyethyl)-3-methylimidazolium dodecylbenzenesulfonate
CN1C=C[N+](CCO)=C1.[O-]P(CC(CC(C)C)C)(CC(CC(C)(C)C)C)=O,0.0,"1-(2-hydroxyethyl)-3-methylimidazolium bis(2,4,4-trimethylpentyl)phosphinate"
CN1C=C[N+](CCO)=C1.[O-]P(OCC)(OCC)=O,0.0,1-(2-hydroxyethyl)-3-methylimidazolium diethyl phosphate
CN1C=C[N+](CCO)=C1.[O-]P(OC)(OC)=O,0.0,1-(2-hydroxyethyl)-3-methylimidazolium dimethyl phosphate
CN1C=C[N+](CCO)=C1.[O-]S(=O)(OC)=O,0.0,1-(2-hydroxyethyl)-3-methylimidazolium methyl sulfate
CN1C=C[N+](CCO)=C1.N#C[N-]C#N,-0.0,1-(2-hydroxyethyl)-3-methylimidazolium dicyanamide
CN1C=C[N+](CCO)=C1.[O-][N+]([O-])=O,0.0,1-(2-hydroxyethyl)-3-methylimidazolium nitrate
CN1C=C[N+](CCO)=C1.N#C[C-](C#N)C#N,-0.0,1-(2-hydroxyethyl)-3-methylimidazolium tricyanomethanide
CN1C=C[N+](CCO)=C1.O=C(CCCCCCCCC)[O-],0.0,1-(2-hydroxyethyl)-3-methylimidazolium decanoate
CN1C=C[N+](CCO)=C1.[N-](S(=O)(=O)F)S(=O)(=O)F,-0.0,1-(2-hydroxyethyl)-3-methylimidazolium bis(fluorosulfonyl)imide
CN1C=C[N+](CC=C)=C1.O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O,0.0,1-allyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
CN1C=C[N+](CC=C)=C1.C(F)(F)(F)S(=O)(=O)[O-],0.0,1-allyl-3-methylimidazolium triflate
CN1C=C[N+](CC=C)=C1.[S-]C#N,0.0,1-allyl-3-methylimidazolium thiocyanate
CN1C=C[N+](CC=C)=C1.O=C(C)[O-],0.0,1-allyl-3-methylimidazolium acetate
CN1C=C[N+](CC=C)=C1.[O-]S(=O)(OCC)=O,0.0,1-allyl-3-methylimidazolium ethyl sulfate
CN1C=C[N+](CC=C)=C1.[O-]S(=O)(O)=O,0.0,1-allyl-3-methylimidazolium hydrogensulfate
CN1C=C[N+](CC=C)=C1.[O-]S(=O)(C)=O,0.0,1-allyl-3-methylimidazolium methanesulfonate
CN1C=C[N+](CC=C)=C1.[O-]S(=O)(C1=CC=C(C)C=C1)=O,0.0,1-allyl-3-methylimidazolium tosylate
CN1C=C[N+](CC=C)=C1.O=C([H])[O-],0.0,1-allyl-3-methylimidazolium formate
CN1C=C[N+](CC=C)=C1.[O-]P(OCC(CC)CCCC)(OCC(CCCC)CC)=O,0.0,1-allyl-3-methylimidazolium bis(2-ethylhexyl)phosphate
CN1C=C[N+](CC=C)=C1.[O-]S(=O)(C(F)(F)C(F)F)=O,0.0,"1-allyl-3-methylimidazolium 1,1,2,2-tetrafluoroethanesulfonate"
CN1C=C[N+](CC=C)=C1.[O-]P(OCCCC)(OCCCC)=O,0.0,1-allyl-3-methylimidazolium dibutylphosphate
CN1C=C[N+](CC=C)=C1.O=S([N-]S(=O)(C(F)(F)C(F)(F)F)=O)(C(F)(F)C(F)(F)F)=O,0.0,1-allyl-3-methylimidazolium bis(pentafluoroethylsulfonyl)imide
CN1C=C[N+](CC=C)=C1.[O-]P(O)(O)=O,0.0,1-allyl-3-methylimidazolium dihydrogen phosphate
CN1C=C[N+](CC=C)=C1.O=C(C(F)(F)F)[O-],0.0,1-allyl-3-methylimidazolium trifluoroacetate
CN1C=C[N+](CC=C)=C1.[O-]S(=O)(C1=CC=C(CCCCCCCCCCCC)C=C1)=O,0.0,1-allyl-3-methylimidazolium dodecylbenzenesulfonate
CN1C=C[N+](CC=C)=C1.[O-]P(CC(CC(C)C)C)(CC(CC(C)(C)C)C)=O,0.0,"1-allyl-3-methylimidazolium bis(2,4,4-trimethylpentyl)phosphinate"
CN1C=C[N+](CC=C)=C1.[O-]P(OCC)(OCC)=O,0.0,1-allyl-3-methylimidazolium diethyl phosphate
CN1C=C[N+](CC=C)=C1.[O-]P(OC)(OC)=O,0.0,1-allyl-3-methylimidazolium dimethyl phosphate
CN1C=C[N+](CC=C)=C1.[O-]S(=O)(OC)=O,0.0,1-allyl-3-methylimidazolium methyl sulfate
CN1C=C[N+](CC=C)=C1.[O-][N+]([O-])=O,0.0,1-allyl-3-methylimidazolium nitrate
CN1C=C[N+](CC=C)=C1.N#C[C-](C#N)C#N,-0.0,1-allyl-3-methylimidazolium tricyanomethanide
CN1C=C[N+](CC=C)=C1.O=C(CCCCCCCCC)[O-],0.0,1-allyl-3-methylimidazolium decanoate
CN1C=C[N+](CC=C)=C1.F[B-](F)(F)F,0.0,1-allyl-3-methylimidazolium tetrafluoroborate
CN1C=C[N+](CC=C)=C1.[N-](S(=O)(=O)F)S(=O)(=O)F,-0.0,1-allyl-3-methylimidazolium bis(fluorosulfonyl)imide
C[N+]1=CN(CC2=CC=CC=C2)C=C1.[S-]C#N,0.0,1-benzyl-3-methylimidazolium thiocyanate
C[N+]1=CN(CC2=CC=CC=C2)C=C1.O=C(C)[O-],0.0,1-benzyl-3-methylimidazolium acetate
C[N+]1=CN(CC2=CC=CC=C2)C=C1.[O-]S(=O)(OCC)=O,0.0,1-benzyl-3-methylimidazolium ethyl sulfate
C[N+]1=CN(CC2=CC=CC=C2)C=C1.O=C([H])[O-],0.0,1-benzyl-3-methylimidazolium formate
C[N+]1=CN(CC2=CC=CC=C2)C=C1.[O-]P(OCC(CC)CCCC)(OCC(CCCC)CC)=O,0.0,1-benzyl-3-methylimidazolium bis(2-ethylhexyl)phosphate
C[N+]1=CN(CC2=CC=CC=C2)C=C1.[O-]P(OCCCC)(OCCCC)=O,0.0,1-benzyl-3-methylimidazolium dibutylphosphate
C[N+]1=CN(CC2=CC=CC=C2)C=C1.O=S([N-]S(=O)(C(F)(F)C(F)(F)F)=O)(C(F)(F)C(F)(F)F)=O,0.0,1-benzyl-3-methylimidazolium bis(pentafluoroethylsulfonyl)imide
C[N+]1=CN(CC2=CC=CC=C2)C=C1.[O-]P(OCC)(OCC)=O,0.0,1-benzyl-3-methylimidazolium diethyl phosphate
C[N+]1=CN(CC2=CC=CC=C2)C=C1.[O-]P(OC)(OC)=O,0.0,1-benzyl-3-methylimidazolium dimethyl phosphate
C[N+]1=CN(CC2=CC=CC=C2)C=C1.[O-]S(=O)(OC)=O,0.0,1-benzyl-3-methylimidazolium methyl sulfate
C[N+]1=CN(CC2=CC=CC=C2)C=C1.N#C[C-](C#N)C#N,0.0,1-benzyl-3-methylimidazolium tricyanomethanide
